,01c [bldta] [otf],01s [bldta] [otf],02A [bldta] [otf],02B [bldta] [otf],13c [bldta] [otf],13s [Bmax=40000] [bldta] [otf],14c [bldta] [otf],14s [bldta] [otf],15c [bldta] [otf],15s [Bmax=13000] [bldta] [otf],22 [bldta] [otf],27 [bldta] [otf],33 [bldta] [otf],37a [bldta] [otf],37b [bldta] [otf],37c [bldta] [otf],38a [bldta] [otf],38b [bldta] [otf],max_Band5_MID_continuum [bldta] [otf],max_Band5_MID_spectral [bldta] [otf],max_LOW_continuum [bldta] [otf],max_LOW_spectral [bldta] [otf],max_MID_continuum [bldta] [otf],max_MID_spectral [bldta] [otf]
Channels backward (no-smear)0,576.024457759016,621.9393372242645,863.6903446640755,863.6903446640755,124.43471205203016,293.8326996797767,153.49603675228343,111.73457045064652,122.88332928993411,25.664246596024633,286.6062635725801,276.08153321849096,276.08153321849096,372.78105657217833,372.78105657217833,276.08153321849096,435.8059662520879,435.8059662520879,447.25086839102715,1131.677583620408,808.8466790406832,2181.8409106014506,603.2228470378325,1373.4278293411337
Channels backward (no-smear)1,834.3366856603985,900.8663934017509,1251.1586148232877,1251.1586148232877,186.60597979706088,440.7029502981749,230.1882917635234,167.5833320959154,184.279432327378,38.494609457539404,429.86382302328974,414.02097489565193,414.02097489565193,559.0389802377872,559.0389802377872,414.02097489565193,653.5959856457442,653.5959856457442,670.7606799322704,1697.4007326825986,1171.5657898204418,3161.0062248568347,904.5597563976627,2059.86715195982
Channels backward (no-smear)2,1221.8049592682044,1319.2569144554732,1832.3609745268375,1832.3609745268375,248.77724374882584,587.5731993090207,306.8805422731244,223.43209305889212,245.6755316109825,51.32497229224026,573.1213808637368,551.9604083092323,551.9604083092323,745.2968934217347,745.2968934217347,551.9604083092323,871.3859985328546,871.3859985328546,894.2704848313007,2263.123879117549,1715.6443602318652,4629.754160708587,1205.8966379974954,2746.3064623796045
Channels backward (no-smear)3,1773.6536666737777,1915.1464019142575,2660.134001657883,2660.134001657883,373.1197678573648,881.3136957236542,460.2650387885061,335.1296143020661,368.4677264226425,66.72140768035355,859.6364949340269,827.8392668687668,827.8392668687668,1117.8127093029952,1117.8127093029952,827.8392668687668,1306.96601779828,1306.96601779828,1341.2900879856256,3394.5701693647666,2490.544077907122,6721.607257574179,1808.570373420898,4119.185071013969
Channels backward (no-smear)4,2595.555964704438,2802.6413534606395,3892.987424881861,3892.987424881861,621.8048115188559,1468.7946866230889,767.0340264126171,558.5246559695574,614.0521115371553,128.3071491877274,1432.6667211420954,1379.596974064151,1379.596974064151,1862.8443284761663,1862.8443284761663,1379.596974064151,2178.126048514747,2178.126048514747,2235.3292863182373,5657.462746707873,3644.649995292959,9837.133129807215,3013.917810920462,6864.942273636082
Channels backward (no-smear)5,3781.443544242798,4083.1697632627433,5671.818778067089,5671.818778067089,870.4898534441417,2056.2756767870496,1073.8030119774014,781.9196973253497,859.6364949340269,179.6286004280895,2005.6969466105954,1931.3546774765398,1931.3546774765398,2607.875942853118,2607.875942853118,1931.3546774765398,3049.286076254615,3049.286076254615,3129.3684816134323,7920.355322831102,5309.859931072083,14332.391876912034,4219.26523571507,9610.699470687023
Channels backward (no-smear)6,5519.17978438891,5959.587617180283,8278.423127176913,8278.423127176913,1367.8599358741046,2350.0161717659144,1687.3409814183788,1228.7097797799804,1350.8052603215483,282.2715028998748,3151.7573969500827,3034.8700812078614,3034.8700812078614,4097.939167681737,4097.939167681737,3034.8700812078614,4791.606129302503,4791.606129302503,4917.446869713224,12446.140474166908,7749.969518858984,20919.503696560292,6629.960074898007,15102.21386022389
Channels backward (no-smear)7,9393.861923713632,10143.492275010229,14090.446326176349,14090.446326176349,1865.2300176719252,4406.199635968495,2300.878950113972,1675.499862124429,1841.9740250843204,384.9144053664507,4297.817847033029,4138.385483565499,4138.385483565499,5588.002390765619,5588.002390765619,4138.385483565499,6533.926181262959,6533.926181262959,6705.52525670914,16971.92562505434,13190.754385623653,35606.98274460911,9040.654909467647,20593.728247660394
Channels backward (no-smear)8,,,,,2238.2575788595937,5287.421120505375,2761.0324264390797,2010.5924238542727,2210.3505984998897,461.89658221317296,5157.363184520282,4966.022034981619,4966.022034981619,6705.549807639503,6705.549807639503,4966.022034981619,7840.666219968584,7840.666219968584,8046.584046663645,20366.264487998786,,,10848.676034195598,24712.36403777495
Channels backward (no-smear)9,,,,,2735.6276603324322,6462.383099843642,3374.570394755447,2457.382506132596,2701.5193629451583,564.5394846753744,6303.42363444012,6069.537436643055,6069.537436643055,8195.613029826505,8195.613029826505,6069.537436643055,9582.98627137248,9582.98627137248,9834.662433105768,24892.049638573604,,,13259.37086640695,30203.878424293223
Channels backward (no-smear)10,,,,,3232.9977417458203,7637.345079146104,3988.1083629814684,2904.172588407456,3192.6881273110653,667.1823871407294,7449.484084359903,7173.052838139827,7173.052838139827,9685.676251827055,9685.676251827055,7173.052838139827,11325.3063226907,11325.3063226907,11622.740819438477,29417.834789399283,,,15670.065698076485,35695.392810509155
Channels backward (no-smear)11,,,,,3730.367823103747,8812.30705838237,4601.646331146841,3350.9626706556855,3683.856891654298,769.825289607694,8595.544534254459,8276.568239542667,8276.568239542667,11175.739473704114,11175.739473704114,8276.568239542667,13067.626373872286,13067.626373872286,13410.819205646914,33943.619939647484,,,18080.76052947859,41186.9071966738
Channels predict fft,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,32975.4265816828,65536.0,65536.0,65536.0
Channels predict gcf0,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,32975.4265816828,65536.0,65536.0,65536.0
Channels predict gcf1,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,32975.4265816828,65536.0,65536.0,65536.0
Channels predict gcf2,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,32975.4265816828,65536.0,65536.0,65536.0
Channels predict gcf3,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,32975.4265816828,65536.0,65536.0,65536.0
Channels predict gcf4,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,32975.4265816828,65536.0,65536.0,65536.0
Channels predict gcf5,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,32975.4265816828,65536.0,65536.0,65536.0
Channels predict gcf6,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,32975.4265816828,65536.0,65536.0,65536.0
Channels predict gcf7,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,32975.4265816828,65536.0,65536.0,65536.0
Channels predict gcf8,,,,,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,,,65536.0,65536.0
Channels predict gcf9,,,,,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,,,65536.0,65536.0
Channels predict gcf10,,,,,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,,,65536.0,65536.0
Channels predict gcf11,,,,,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,,,65536.0,65536.0
Channels predict,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,32975.4265816828,65536.0,65536.0,65536.0
Channels backward gcf0,576.024457759016,1500.0,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,500.0,500.0,700.0,700.0,700.0,1000.0,1000.0,500.0,65536.0,808.8466790406832,65536.0,603.2228470378325,65536.0
Channels backward gcf1,834.3366856603985,1500.0,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,500.0,500.0,700.0,700.0,700.0,1000.0,1000.0,670.7606799322704,65536.0,1171.5657898204418,65536.0,904.5597563976627,65536.0
Channels backward gcf2,1221.8049592682044,1500.0,1832.3609745268375,1832.3609745268375,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,551.9604083092323,551.9604083092323,745.2968934217347,745.2968934217347,700.0,1000.0,1000.0,894.2704848313007,65536.0,1715.6443602318652,65536.0,1205.8966379974954,65536.0
Channels backward gcf3,1773.6536666737777,1915.1464019142575,2660.134001657883,2660.134001657883,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,827.8392668687668,827.8392668687668,1117.8127093029952,1117.8127093029952,827.8392668687668,1306.96601779828,1306.96601779828,1341.2900879856256,65536.0,2490.544077907122,65536.0,1808.570373420898,65536.0
Channels backward gcf4,2595.555964704438,2802.6413534606395,3892.987424881861,3892.987424881861,621.8048115188559,3200.0,767.0340264126171,5000.0,614.0521115371553,2500.0,5000.0,1379.596974064151,1379.596974064151,1862.8443284761663,1862.8443284761663,1379.596974064151,2178.126048514747,2178.126048514747,2235.3292863182373,65536.0,3644.649995292959,65536.0,3013.917810920462,65536.0
Channels backward gcf5,3781.443544242798,4083.1697632627433,5671.818778067089,5671.818778067089,870.4898534441417,3200.0,1073.8030119774014,5000.0,859.6364949340269,2500.0,5000.0,1931.3546774765398,1931.3546774765398,2607.875942853118,2607.875942853118,1931.3546774765398,3049.286076254615,3049.286076254615,3129.3684816134323,65536.0,5309.859931072083,65536.0,4219.26523571507,65536.0
Channels backward gcf6,5519.17978438891,5959.587617180283,8278.423127176913,8278.423127176913,1367.8599358741046,3200.0,1687.3409814183788,5000.0,1350.8052603215483,2500.0,5000.0,3034.8700812078614,3034.8700812078614,4097.939167681737,4097.939167681737,3034.8700812078614,4791.606129302503,4791.606129302503,4917.446869713224,65536.0,7749.969518858984,65536.0,6629.960074898007,65536.0
Channels backward gcf7,9393.861923713632,10143.492275010229,14090.446326176349,14090.446326176349,1865.2300176719252,4406.199635968495,2300.878950113972,5000.0,1841.9740250843204,2500.0,5000.0,4138.385483565499,4138.385483565499,5588.002390765619,5588.002390765619,4138.385483565499,6533.926181262959,6533.926181262959,6705.52525670914,65536.0,13190.754385623653,65536.0,9040.654909467647,65536.0
Channels backward gcf8,,,,,2238.2575788595937,5287.421120505375,2761.0324264390797,5000.0,2210.3505984998897,2500.0,5157.363184520282,4966.022034981619,4966.022034981619,6705.549807639503,6705.549807639503,4966.022034981619,7840.666219968584,7840.666219968584,8046.584046663645,65536.0,,,10848.676034195598,65536.0
Channels backward gcf9,,,,,2735.6276603324322,6462.383099843642,3374.570394755447,5000.0,2701.5193629451583,2500.0,6303.42363444012,6069.537436643055,6069.537436643055,8195.613029826505,8195.613029826505,6069.537436643055,9582.98627137248,9582.98627137248,9834.662433105768,65536.0,,,13259.37086640695,65536.0
Channels backward gcf10,,,,,3232.9977417458203,7637.345079146104,3988.1083629814684,5000.0,3192.6881273110653,2500.0,7449.484084359903,7173.052838139827,7173.052838139827,9685.676251827055,9685.676251827055,7173.052838139827,11325.3063226907,11325.3063226907,11622.740819438477,65536.0,,,15670.065698076485,65536.0
Channels backward gcf11,,,,,3730.367823103747,8812.30705838237,4601.646331146841,5000.0,3683.856891654298,2500.0,8595.544534254459,8276.568239542667,8276.568239542667,11175.739473704114,11175.739473704114,8276.568239542667,13067.626373872286,13067.626373872286,13410.819205646914,65536.0,,,18080.76052947859,65536.0
Channels backward0,576.024457759016,1500.0,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,500.0,500.0,700.0,700.0,700.0,1000.0,1000.0,500.0,65536.0,808.8466790406832,65536.0,603.2228470378325,65536.0
Channels backward1,834.3366856603985,1500.0,1500.0,1500.0,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,500.0,500.0,700.0,700.0,700.0,1000.0,1000.0,670.7606799322704,65536.0,1171.5657898204418,65536.0,904.5597563976627,65536.0
Channels backward2,1221.8049592682044,1500.0,1832.3609745268375,1832.3609745268375,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,551.9604083092323,551.9604083092323,745.2968934217347,745.2968934217347,700.0,1000.0,1000.0,894.2704848313007,65536.0,1715.6443602318652,65536.0,1205.8966379974954,65536.0
Channels backward3,1773.6536666737777,1915.1464019142575,2660.134001657883,2660.134001657883,500.0,3200.0,500.0,5000.0,500.0,2500.0,5000.0,827.8392668687668,827.8392668687668,1117.8127093029952,1117.8127093029952,827.8392668687668,1306.96601779828,1306.96601779828,1341.2900879856256,65536.0,2490.544077907122,65536.0,1808.570373420898,65536.0
Channels backward4,2595.555964704438,2802.6413534606395,3892.987424881861,3892.987424881861,621.8048115188559,3200.0,767.0340264126171,5000.0,614.0521115371553,2500.0,5000.0,1379.596974064151,1379.596974064151,1862.8443284761663,1862.8443284761663,1379.596974064151,2178.126048514747,2178.126048514747,2235.3292863182373,65536.0,3644.649995292959,65536.0,3013.917810920462,65536.0
Channels backward5,3781.443544242798,4083.1697632627433,5671.818778067089,5671.818778067089,870.4898534441417,3200.0,1073.8030119774014,5000.0,859.6364949340269,2500.0,5000.0,1931.3546774765398,1931.3546774765398,2607.875942853118,2607.875942853118,1931.3546774765398,3049.286076254615,3049.286076254615,3129.3684816134323,65536.0,5309.859931072083,65536.0,4219.26523571507,65536.0
Channels backward6,5519.17978438891,5959.587617180283,8278.423127176913,8278.423127176913,1367.8599358741046,3200.0,1687.3409814183788,5000.0,1350.8052603215483,2500.0,5000.0,3034.8700812078614,3034.8700812078614,4097.939167681737,4097.939167681737,3034.8700812078614,4791.606129302503,4791.606129302503,4917.446869713224,65536.0,7749.969518858984,65536.0,6629.960074898007,65536.0
Channels backward7,9393.861923713632,10143.492275010229,14090.446326176349,14090.446326176349,1865.2300176719252,4406.199635968495,2300.878950113972,5000.0,1841.9740250843204,2500.0,5000.0,4138.385483565499,4138.385483565499,5588.002390765619,5588.002390765619,4138.385483565499,6533.926181262959,6533.926181262959,6705.52525670914,65536.0,13190.754385623653,65536.0,9040.654909467647,65536.0
Channels backward8,,,,,2238.2575788595937,5287.421120505375,2761.0324264390797,5000.0,2210.3505984998897,2500.0,5157.363184520282,4966.022034981619,4966.022034981619,6705.549807639503,6705.549807639503,4966.022034981619,7840.666219968584,7840.666219968584,8046.584046663645,65536.0,,,10848.676034195598,65536.0
Channels backward9,,,,,2735.6276603324322,6462.383099843642,3374.570394755447,5000.0,2701.5193629451583,2500.0,6303.42363444012,6069.537436643055,6069.537436643055,8195.613029826505,8195.613029826505,6069.537436643055,9582.98627137248,9582.98627137248,9834.662433105768,65536.0,,,13259.37086640695,65536.0
Channels backward10,,,,,3232.9977417458203,7637.345079146104,3988.1083629814684,5000.0,3192.6881273110653,2500.0,7449.484084359903,7173.052838139827,7173.052838139827,9685.676251827055,9685.676251827055,7173.052838139827,11325.3063226907,11325.3063226907,11622.740819438477,65536.0,,,15670.065698076485,65536.0
Channels backward11,,,,,3730.367823103747,8812.30705838237,4601.646331146841,5000.0,3683.856891654298,2500.0,8595.544534254459,8276.568239542667,8276.568239542667,11175.739473704114,11175.739473704114,8276.568239542667,13067.626373872286,13067.626373872286,13410.819205646914,65536.0,,,18080.76052947859,65536.0
Channels backward fft,500,65536,500,500,500,65536,500,5000,500,2500,500,500,500,500,500,500,500,500,500,65536,500,65536,500,65536
Channels out,500,65536,1500,1500,500,65536,500,5000,500,2500,5000,500,500,700,700,700,1000,1000,500,65536,500,65536,500,65536
Visibilities pred0,1342068434.7032068,1449170261.379078,1342068434.7032068,1342068434.7032068,215262479.15212432,60730198.10454093,265540084.34873638,49462810.211416215,212578541.26478764,25245176.692619033,212578541.26478764,477603017.998407,477603017.998407,644901375.0246507,644901375.0246507,477603017.998407,538627523.213381,538627523.213381,552773424.8362346,648318946.0030745,1884517307.1455562,3745326112.3146496,648318946.0030745,648318946.0030745
Visibilities pred1,202539517.36525932,218702890.0539745,202539517.36525932,202539517.36525932,17720883.230152998,4999444.1827184,21859846.853958793,4071887.899108942,17499935.529068198,2078238.7625403649,17499935.529068198,39317336.4241397,39317336.4241397,53089707.07199143,53089707.07199143,39317336.4241397,44341008.61890336,44341008.61890336,45505530.51715144,53371049.07120073,284403698.0425281,565229405.2586584,53371049.07120073,53371049.07120073
Visibilities pred2,151434456.9710891,163519464.37002924,151434456.9710891,151434456.9710891,9939656.108639443,2804191.8263985896,12261203.772629244,2283924.8419179274,9815726.384694278,1165685.611885682,9815726.384694278,22053122.18855235,22053122.18855235,29778054.758924242,29778054.758924242,22053122.18855235,24870903.524277207,24870903.524277207,25524084.691899285,29935859.687986653,212642550.61875242,422609914.16837627,29935859.687986653,29935859.687986653
Visibilities pred3,234249610.49715713,252943561.21801224,234249610.49715713,234249610.49715713,19083828.761555877,5742891.281241906,26904145.880749,4385064.242770006,18845887.568783544,1253324.7472326572,18845887.568783544,42341304.65924229,42341304.65924229,65340495.44690289,65340495.44690289,42341304.65924229,54572979.04932402,54572979.04932402,56006221.79988423,65686758.906097166,328930651.93923765,653723133.8643019,65686758.906097166,65686758.906097166
Visibilities pred4,189338280.84555808,204448147.98337874,189338280.84555808,189338280.84555808,53559095.8373816,16117523.813424826,66068582.32943479,9845406.97639109,52891309.76014397,2931231.3360139374,52891309.76014397,118831604.62498526,118831604.62498526,160456827.80692613,160456827.80692613,118831604.62498526,134015009.25783736,134015009.25783736,137534627.27816668,161307147.90119162,265866671.12660885,528388559.75958896,161307147.90119162,161307147.90119162
Visibilities pred5,270562052.6222723,292153865.16752964,270562052.6222723,270562052.6222723,37571692.79180548,8479829.296240013,46347094.5440999,8633188.269514406,37103241.01993846,1542193.5555934503,37103241.01993846,83360341.93861605,83360341.93861605,112560425.94546138,112560425.94546138,83360341.93861605,94011496.62075014,94011496.62075014,96480507.81178708,113156925.28617923,379920172.2051206,755060691.7535795,113156925.28617923,113156925.28617923
Visibilities pred6,207928515.08921194,224521948.93223414,207928515.08921194,207928515.08921194,86052132.1785943,3236955.5252472498,106150828.17542218,19772978.082397547,84979216.08680753,2354770.020190098,84979216.08680753,190923927.82789752,190923927.82789752,257802189.14305305,257802189.14305305,190923927.82789752,215318744.84187993,215318744.84187993,220973631.84787288,259168378.32160112,291970867.6564998,580268544.376171,259168378.32160112,259168378.32160112
Visibilities pred7,18517898.798805382,19995692.878650185,18517898.798805382,18517898.798805382,164486279.9438615,12374702.618329613,202904383.6275627,37795502.863717765,162435430.39299104,2250539.010123154,162435430.39299104,364945828.13478595,364945828.13478595,492781782.1587097,492781782.1587097,364945828.13478595,411575848.78567845,411575848.78567845,422385009.5068586,495393215.13532144,26002623.916891437,51678117.2427348,495393215.13532144,495393215.13532144
Visibilities pred8,,,,,52082139.49342821,3918265.937909834,64246661.88283607,11967385.079437898,51432768.418680064,712599.7785386126,51432768.418680064,115554680.5177165,115554680.5177165,156032038.21601093,156032038.21601093,115554680.5177165,130319384.54622325,130319384.54622325,133741944.8757506,156858909.71320844,,,156858909.71320844,156858909.71320844
Visibilities pred9,,,,,45552438.567719236,3427020.667058929,56191856.691451795,10466996.535657328,44984481.17814519,623258.912766946,44984481.17814519,101067228.35685153,101067228.35685153,136469812.96395686,136469812.96395686,101067228.35685153,113980835.2050106,113980835.2050106,116974298.428133,137193016.9921677,,,137193016.9921677,137193016.9921677
Visibilities pred10,,,,,3264850.552875744,245622.64219797074,4027402.7067391425,750194.2925752864,3224143.70916629,44670.43411752481,3224143.70916629,7243726.280162723,7243726.280162723,9781112.895720268,9781112.895720268,7243726.280162723,8169274.895856583,8169274.895856583,8383823.454974779,9832946.631642792,,,9832946.631642792,9832946.631642792
